 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
2.000E-03 1.18E-02 4.78E-06 1.59E-02 1.00E-06 1.73E-04 1.07E-12 7.07E-03 5.17E-12 2.57E-06 2.81E-01 6.06E-02 3.762E-01
1.950E-03 1.20E-02 5.19E-06 1.61E-02 1.04E-06 1.66E-04 1.18E-12 7.48E-03 5.48E-12 2.78E-06 2.85E-01 6.21E-02 3.830E-01
1.900E-03 1.22E-02 5.66E-06 1.62E-02 1.07E-06 1.59E-04 1.31E-12 7.80E-03 5.73E-12 3.38E-06 2.88E-01 6.33E-02 3.879E-01
1.850E-03 1.25E-02 6.19E-06 1.61E-02 1.08E-06 1.53E-04 1.47E-12 7.97E-03 5.89E-12 4.39E-06 2.89E-01 6.41E-02 3.894E-01
1.830E-03 1.26E-02 6.41E-06 1.60E-02 1.08E-06 1.51E-04 1.53E-12 8.00E-03 5.92E-12 4.74E-06 2.88E-01 6.42E-02 3.890E-01
1.820E-03 1.27E-02 6.52E-06 1.59E-02 1.08E-06 1.50E-04 1.57E-12 8.00E-03 5.93E-12 4.86E-06 2.88E-01 6.42E-02 3.885E-01
1.810E-03 1.27E-02 6.63E-06 1.58E-02 1.08E-06 1.49E-04 1.60E-12 7.98E-03 5.94E-12 4.93E-06 2.87E-01 6.44E-02 3.880E-01
1.800E-03 1.28E-02 6.76E-06 1.57E-02 1.08E-06 1.48E-04 1.64E-12 7.96E-03 5.96E-12 4.97E-06 2.86E-01 6.46E-02 3.876E-01
1.750E-03 1.31E-02 7.39E-06 1.51E-02 1.05E-06 1.44E-04 1.84E-12 7.75E-03 5.99E-12 5.08E-06 2.82E-01 6.54E-02 3.838E-01
1.700E-03 1.32E-02 8.10E-06 1.40E-02 1.00E-06 1.40E-04 2.07E-12 7.38E-03 6.03E-12 6.24E-06 2.76E-01 6.69E-02 3.780E-01
1.670E-03 1.34E-02 8.62E-06 1.31E-02 9.77E-07 1.39E-04 2.23E-12 7.10E-03 6.10E-12 7.38E-06 2.73E-01 6.84E-02 3.755E-01
1.650E-03 1.36E-02 9.00E-06 1.24E-02 9.61E-07 1.38E-04 2.34E-12 6.88E-03 6.17E-12 7.79E-06 2.71E-01 6.96E-02 3.740E-01
1.640E-03 1.37E-02 9.18E-06 1.20E-02 9.55E-07 1.37E-04 2.40E-12 6.77E-03 6.21E-12 7.77E-06 2.70E-01 7.02E-02 3.731E-01
