 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.140E-03 1.71E-02 1.72E-05 3.27E-02 2.09E-05 9.63E-04 5.73E-11 3.86E-02 1.35E-10 6.51E-04 2.97E-01 1.21E-01 5.080E-01
1.130E-03 1.71E-02 1.77E-05 3.40E-02 2.14E-05 9.62E-04 5.96E-11 4.02E-02 1.42E-10 7.95E-04 3.00E-01 1.21E-01 5.141E-01
1.120E-03 1.72E-02 1.82E-05 3.51E-02 2.19E-05 9.68E-04 6.18E-11 4.19E-02 1.48E-10 6.40E-04 3.03E-01 1.21E-01 5.195E-01
1.110E-03 1.72E-02 1.87E-05 3.62E-02 2.24E-05 9.76E-04 6.42E-11 4.37E-02 1.54E-10 4.06E-04 3.05E-01 1.21E-01 5.248E-01
1.090E-03 1.73E-02 1.98E-05 3.84E-02 2.34E-05 9.96E-04 6.91E-11 4.74E-02 1.68E-10 1.69E-04 3.10E-01 1.21E-01 5.353E-01
1.050E-03 1.77E-02 2.26E-05 4.24E-02 2.52E-05 1.04E-03 8.03E-11 5.73E-02 1.99E-10 5.54E-05 3.20E-01 1.18E-01 5.564E-01
1.000E-03 1.84E-02 2.67E-05 4.63E-02 2.67E-05 1.11E-03 9.78E-11 6.63E-02 2.13E-10 2.76E-05 3.19E-01 1.09E-01 5.600E-01
9.800E-04 1.87E-02 2.86E-05 4.72E-02 2.66E-05 1.14E-03 1.06E-10 6.96E-02 2.19E-10 2.39E-05 3.18E-01 1.06E-01 5.603E-01
9.600E-04 1.89E-02 3.07E-05 4.70E-02 2.59E-05 1.18E-03 1.15E-10 7.28E-02 2.21E-10 2.20E-05 3.15E-01 1.01E-01 5.561E-01
9.500E-04 1.92E-02 3.17E-05 4.64E-02 2.54E-05 1.19E-03 1.20E-10 7.35E-02 2.16E-10 2.17E-05 3.12E-01 9.79E-02 5.502E-01
9.400E-04 1.93E-02 3.27E-05 4.56E-02 2.49E-05 1.21E-03 1.25E-10 7.33E-02 2.07E-10 2.17E-05 3.07E-01 9.39E-02 5.407E-01
9.200E-04 1.96E-02 3.50E-05 4.34E-02 2.39E-05 1.25E-03 1.37E-10 6.82E-02 1.72E-10 2.32E-05 2.93E-01 8.51E-02 5.109E-01
8.900E-04 2.01E-02 3.91E-05 3.84E-02 2.23E-05 1.32E-03 1.56E-10 5.39E-02 1.10E-10 3.41E-05 2.67E-01 7.46E-02 4.552E-01
8.700E-04 2.02E-02 4.18E-05 3.48E-02 2.20E-05 1.36E-03 1.71E-10 4.49E-02 8.19E-11 7.72E-05 2.51E-01 7.15E-02 4.233E-01
8.600E-04 2.04E-02 4.35E-05 3.30E-02 2.19E-05 1.39E-03 1.79E-10 4.12E-02 7.23E-11 1.17E-04 2.44E-01 7.11E-02 4.116E-01
8.500E-04 2.05E-02 4.50E-05 3.11E-02 2.19E-05 1.41E-03 1.87E-10 3.80E-02 6.44E-11 8.31E-05 2.38E-01 7.08E-02 4.002E-01
8.400E-04 2.07E-02 4.70E-05 2.90E-02 2.19E-05 1.44E-03 1.97E-10 3.47E-02 5.64E-11 5.94E-05 2.32E-01 7.05E-02 3.884E-01
8.200E-04 2.09E-02 5.01E-05 2.42E-02 2.25E-05 1.50E-03 2.16E-10 2.68E-02 4.05E-11 6.04E-05 2.15E-01 7.05E-02 3.594E-01
8.000E-04 2.12E-02 5.43E-05 1.95E-02 2.48E-05 1.56E-03 2.39E-10 1.83E-02 3.12E-11 8.87E-05 1.98E-01 7.52E-02 3.341E-01
7.900E-04 2.14E-02 5.67E-05 1.77E-02 2.67E-05 1.59E-03 2.51E-10 1.54E-02 3.36E-11 1.11E-04 1.93E-01 8.07E-02 3.304E-01
